,0
0,Iris-virginica
1,Iris-versicolor
2,Iris-setosa
3,Iris-virginica
4,Iris-virginica
5,Iris-versicolor
6,Iris-setosa
7,Iris-versicolor
8,Iris-versicolor
9,Iris-versicolor
10,Iris-virginica
11,Iris-setosa
12,Iris-virginica
13,Iris-setosa
14,Iris-setosa
15,Iris-versicolor
16,Iris-virginica
17,Iris-virginica
18,Iris-virginica
19,Iris-virginica
20,Iris-versicolor
21,Iris-virginica
22,Iris-versicolor
23,Iris-versicolor
24,Iris-virginica
25,Iris-virginica
26,Iris-virginica
27,Iris-virginica
28,Iris-versicolor
29,Iris-virginica
30,Iris-versicolor
31,Iris-setosa
32,Iris-virginica
33,Iris-versicolor
34,Iris-versicolor
35,Iris-versicolor
36,Iris-versicolor
37,Iris-virginica
38,Iris-setosa
39,Iris-setosa
40,Iris-virginica
41,Iris-versicolor
42,Iris-setosa
43,Iris-setosa
44,Iris-versicolor
45,Iris-setosa
46,Iris-virginica
47,Iris-versicolor
48,Iris-setosa
49,Iris-versicolor
50,Iris-virginica
51,Iris-versicolor
52,Iris-setosa
53,Iris-virginica
54,Iris-virginica
55,Iris-virginica
56,Iris-virginica
57,Iris-setosa
58,Iris-setosa
59,Iris-virginica
60,Iris-virginica
61,Iris-setosa
62,Iris-virginica
63,Iris-setosa
64,Iris-virginica
65,Iris-virginica
66,Iris-setosa
67,Iris-setosa
68,Iris-virginica
69,Iris-setosa
70,Iris-setosa
71,Iris-setosa
72,Iris-versicolor
73,Iris-virginica
74,Iris-virginica
75,Iris-setosa
76,Iris-setosa
77,Iris-setosa
78,Iris-versicolor
79,Iris-versicolor
80,Iris-setosa
81,Iris-setosa
82,Iris-versicolor
83,Iris-setosa
84,Iris-virginica
85,Iris-versicolor
86,Iris-virginica
87,Iris-versicolor
88,Iris-setosa
89,Iris-virginica
90,Iris-setosa
91,Iris-virginica
92,Iris-setosa
93,Iris-setosa
94,Iris-virginica
95,Iris-setosa
96,Iris-virginica
97,Iris-versicolor
98,Iris-versicolor
99,Iris-versicolor
100,Iris-virginica
101,Iris-virginica
102,Iris-versicolor
103,Iris-versicolor
104,Iris-setosa
105,Iris-versicolor
106,Iris-virginica
107,Iris-virginica
108,Iris-setosa
109,Iris-versicolor
110,Iris-versicolor
111,Iris-versicolor
112,Iris-versicolor
113,Iris-setosa
114,Iris-setosa
115,Iris-setosa
116,Iris-virginica
117,Iris-versicolor
118,Iris-virginica
119,Iris-setosa
